ID,Name,Author ID,Author Name,Thumbnail
avtr_acefc4e6-a6c7-443c-885c-b34a06b308e5,MANUKA_sample,usr_8b37b658-02f7-47b0-b5eb-e2833c42be25,JINGO,https://api.vrchat.cloud/api/1/image/file_67871ea2-b5f0-4a0e-8a7c-ed2bf40c9e48/1/256
avtr_90edf78f-6b2e-478c-b99f-eff24768806a,Ruru_Sample,usr_2ec03223-15b8-48d3-b379-5ab1f1c5cac6,HeHZS~,https://api.vrchat.cloud/api/1/image/file_4e531d11-369d-4e36-b648-e434403ab1f1/2/256
avtr_a30f900c-7b08-45fa-b1d0-23c7ac1ff7f7,進捗55%！でびー Debbie Sample,usr_acb46902-8e76-4220-8394-40ac6915e44e,ねこ隠し,https://api.vrchat.cloud/api/1/image/file_7c4a3a13-32ca-4202-b1a8-93f74ca40b67/5/256
avtr_f73afaf6-47b2-44bf-ae31-b3941b56f7e7,Lilika_Vket2023_trial,usr_e3f071b1-a620-4cf5-b671-355219916576,わこー,https://api.vrchat.cloud/api/1/image/file_ce0861a0-0e31-4806-a17c-cb17a7e58cd8/1/256
avtr_895dc714-e7f0-429d-9989-c68bf092ab0b,Moe_Sample,usr_f663cf00-9bdf-4d5d-9d8e-0c4573ed7f01,『 チカ 』,https://api.vrchat.cloud/api/1/image/file_752c38f5-f1be-4576-acd2-712da8b98d40/2/256
avtr_868624f0-0575-4234-a7e2-f65d96a66681,[まわり道]アルティエナ&ミシェル,usr_37e9a7d4-dcc5-4aee-a20b-ac7270d2e2e5,リシチカ,https://api.vrchat.cloud/api/1/image/file_f69d5050-f702-481f-977c-66a73d803614/2/256
avtr_5ce6aa8d-8773-4f09-873d-0c339296b5bc,めいゆん 試着中,usr_d2ce2f7e-b94c-4679-aaf6-77cf32608a8d,NTori3,https://api.vrchat.cloud/api/1/image/file_aca44606-3f06-4ba5-b0a4-f4e51fd547f3/3/256
avtr_03fd3247-cdd2-4cd2-b69b-6ebba64feb7b,NecoMaid,usr_126cb9c1-91e4-4013-8713-95d0528c61c8,sono_jp,https://api.vrchat.cloud/api/1/image/file_aa0a796a-f701-4e22-85d3-923e99c745b3/3/256
avtr_6611079e-e67b-4c3f-b3ef-5e0e7611652a,Rusk_sample,usr_06fc47b5-8e5f-429d-8f72-d140a5ff7719,komado,https://api.vrchat.cloud/api/1/image/file_2081f716-d5ce-4aba-bacd-54379a00c12c/5/256
avtr_d30a343f-02ba-45ab-ab30-2d0930d27605,Kanae_Sample,usr_bd27650c-e0e9-48c0-a5f0-0fda6b50c631,에 로 몽,https://api.vrchat.cloud/api/1/image/file_538c304e-678f-46e3-abb1-f5d468ba7aee/3/256
avtr_8b5d44b2-5aec-4176-afc3-93ead7dd183f,RINDO_sample,usr_8b37b658-02f7-47b0-b5eb-e2833c42be25,JINGO,https://api.vrchat.cloud/api/1/image/file_12a0bf51-a4ab-4975-a110-f5d02b911652/2/256
avtr_ac012ae3-d4ae-4a49-b74c-b00e5d6ed5c2,관객용아바타,usr_3540e685-9739-4ea1-b41e-b6b1d0bd2d19,여우님,https://api.vrchat.cloud/api/1/image/file_a32fabc0-d23f-4bae-9b1c-88412532778f/1/256
avtr_26aeb235-3942-4953-8b1c-7c2385febb8b,KIKYO_Sample,usr_70c5cef8-4fdd-4f46-a340-30f46307b000,pondero,https://api.vrchat.cloud/api/1/image/file_490f9f5e-393c-4843-8e6c-173affdb4a6c/4/256
avtr_32641978-59e7-4fb8-bac3-e849af02c540,Hakka Trial Version,usr_6dcad055-1146-4388-8103-af49da09d66c,mio3io,https://api.vrchat.cloud/api/1/image/file_b2384d9c-d3fe-4531-89fb-fdc3b33526a7/4/256
avtr_b4ce4108-3ec1-4e40-a223-d89ceed361ac,Komari_Sample,usr_89cd56f8-fab9-477a-b31c-8ebda54473a7,HeHZS_CN,https://api.vrchat.cloud/api/1/image/file_210ce19f-539c-4263-8cbb-717db9095108/1/256
avtr_be39dc25-6d88-4ee1-bf65-6966d661e68b,Laika Sample,usr_65c83a31-f6ed-4577-8ae9-7c5176066716,rio∗,https://api.vrchat.cloud/api/1/image/file_2127a5f6-1a24-4786-a407-6143ac6eed60/5/256
avtr_1c296d25-f3c9-4fc2-a290-bae429ad5b6c,SELESTIA_sample,usr_8b37b658-02f7-47b0-b5eb-e2833c42be25,JINGO,https://api.vrchat.cloud/api/1/image/file_537f5005-2659-460a-88b0-805c18e15809/1/256
avtr_b2a82ae4-a005-4490-9969-f321cd879a58,Lunalitt_sample,usr_c0b28eb6-1500-4787-b2a3-ed921babea95,ひゅうがなつ,https://api.vrchat.cloud/api/1/image/file_b16c5b32-3874-4bd9-878f-0b9fe5f49b6b/9/256
avtr_c5fdceb2-5f0b-433c-80b9-23d05b62d154,ciel_sample,usr_eb899896-e447-43df-8fdf-bed82c96dc8d,れぴの！,https://api.vrchat.cloud/api/1/image/file_70bd8473-3c3e-4ed5-acb1-df8a4f9f28f0/2/256
avtr_77a30325-0044-463a-9ab9-f0dbb27d4652,Tolass DEMO,usr_61a5c933-512d-4e84-b85d-96b7d7433ec6,Yonemaru,https://api.vrchat.cloud/api/1/image/file_37379887-57f1-47f6-9234-703a26a1300a/4/256
avtr_92c1a8a4-7f16-4bd9-a764-e27b20f3c706,Sample_Soleil,usr_67cd42e9-a2d9-48b8-99e9-df7ee42a89a3,bikitan,https://api.vrchat.cloud/api/1/image/file_e377218d-371d-4ee9-9dc3-1774bb268fc7/4/256
avtr_051e1dfc-cc42-4ef1-a976-b8cc4cea3ae7,QuQu U,usr_126cb9c1-91e4-4013-8713-95d0528c61c8,sono_jp,https://api.vrchat.cloud/api/1/image/file_1163c76b-b442-41c9-98cf-f2db9529748e/2/256
